_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
06TTZR,,,,,237.96,7.7484461499999995,7.263788279541192,-6.218364203119563,,5.344046846000001,1.4909116841718024,
06UAOZ,,,,,243.568,8.038519674,4.626903078734197,-6.022009407432051,,5.6041878300000025,2.5659833417230127,
06SPHS,,,,,218.344,7.907088612,3.602352427234182,-6.279624683706061,,5.611807022000001,1.7073963980282962,
06RMIQ,,,,,253.328,6.769924206,10.937557095165264,-6.143397068226477,,4.335592362,3.493226912183061,
06QJXA,,,,,,8.677171232,8.756410985101144,,,3.6242863660000015,13.171484951211841,
06UZCC,,,,,222.088,7.837971656,4.923000091407677,-6.113138726137549,,5.46813083,4.456300005610035,
06DUXY,,,,,352.128,5.692352766,32.29471572579638,-5.089173989046685,,1.9494246960000012,2.3803223605217845,
06NMVW,,,,,259.36,6.530191772,9.743773337367818,-5.98830449662637,,3.9614356120000025,6.823298546890646,
06YZUI,,,,,149.8,9.817056778000001,8.901042718693132,-2.047247556511138,,6.227328890000001,11.636174391096072,
06ZJVV,,,,,159.496,8.269000232000002,9.52109896072927,-2.0032409538944194,,5.176968850000003,11.507756735784781,
06NUQM,,,,,141.68,10.13216479,10.043140650712804,-2.2091938362209476,,6.839857504000001,12.046855395911416,
06EXCU,,,,,202.328,7.817290992000001,8.50582295019124,-1.9066796138868085,,3.5034677499999987,12.71877439496432,
06CFKE,,,,,167.768,8.305463508,7.5642448730854825,-1.9656565137920552,,6.323657246000003,18.956144989158528,
06RULP,,,,,244.76,7.420548780000002,5.990480626794481,-1.764596431668906,,2.7048131600000005,10.871037243060112,
06DAWS,,,,,144.64,10.003726982000002,13.585987753932358,-2.212090625809651,,6.9536011559999995,16.060163597547817,
06IOBV,,,,,204.656,8.112806796000001,9.579415273908946,-1.8147221434337553,,5.588949445999997,14.157885252042412,
06DYQV,,,,,181.656,7.860285004000001,9.820111702521515,-2.083497767249355,,4.768253622000003,11.244109530327425,
06MJVW,,,,,109.24,10.004543324,2.1990035243264163,-2.09433772776174,,7.125032975999998,1.6697964366952038,
06WFJG,,,,,126.416,9.845628748000001,1.6309646041530148,-1.9133418353721936,,7.101903286000002,1.474138222827154,
06HTHO,,,,,169.152,9.362626398,5.97239455662467,-1.900582001739167,,4.134772229999998,6.108029699502123,
06KGHI,,,,,134.088,8.288864554,1.9646309093567678,-1.8950077192384924,,6.815911472000002,5.929676649700219,
06ZGIG,,,,,212.48,7.479053290000001,6.385348267714142,-1.7560730864752259,,2.9774713879999997,3.229344467535168,
06XBHQ,,,,,149.8,7.781371944,4.704445943998081,-1.9815553456810449,,4.903766394000002,4.793474434061373,
06OQIB,,,,,172.376,8.129949978,0.8544531935688461,-1.7085387435417942,,5.766639887999997,0.5827022052472429,
06VTIZ,,,,,143.096,9.806172218000002,2.9446151497267006,-1.8743426201617694,,8.13212689,3.901978202143113,
06CIMY,,,,,177.872,9.457594184,5.444553904591267,-1.821263110919972,,4.124159783999998,5.699928453936944,
06ENGF,,,,,220.872,9.14030926,13.941661069972975,-1.8802772360213567,,2.443311606,11.625256687058569,
06LALA,,,,,120.888,9.405076182,5.196218545249997,-2.002062292101982,,8.028451456,4.827656472865484,
06QJYL,,,,,181.304,7.0072076139999995,3.5325413090295203,-1.6988124095696548,,4.787029487999998,1.418883610448722,
06TYGE,,,,,157.888,7.565313428,6.394085332555393,-1.9531271062933229,,4.889344352,5.71819158300944,
