_id,smiles
05DLTK,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(O)cc1
05MVIJ,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc2c(c1)OCO2
05WXHC,CCOC(=O)C(=CC(=O)OC)C(=O)N(C1CCCCC1)C1C(C(C)=O)=C(C)Oc2ccc(Cl)cc21
05UXPW,CC(=O)Oc1ccc2c(c1)C(C)=CC(C)(C)N2
05GCVL,CCOC12C=Cc3ccccc3C1(C(=O)N1CCCC1)C(C)(C)C2C=C(C)C
05QUYQ,CCOC(=O)C1=C(N)N2CCCSC2=C([N+](=O)[O-])C1c1ccc(Cl)cc1
05UUQG,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(O)cc1
05JLNR,Clc1ccc2c(c1)CC1CN3CCCCC3C1=C2
05FLMC,Clc1ccc2c(c1)CC1CN3CCCCCC3C1=C2
05PEQZ,C=CCOc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc1
05BYRG,COC(=O)C1=C(C)NC(C)=C(C#N)C1c1ccc(SC)cc1
05EAAS,O=C1C=CC2=NNc3ccccc3OCCOCCOC2=C1
05FYHH,CC12CCC(O)C(C)(C)C1CCC13C=C(COC(=O)c4ccc([N+](=O)[O-])cc4)C(C=C12)C(=O)C3=O
05VFMA,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C1c1ccccc1)C=C32
05FIYL,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C1c1ccc(F)cc1)C=C32
05HSWD,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C12)c1ccccc13
05ZIEN,N#CCCOC1=C(Cl)C(=O)c2cccnc2C1=O
05GJIV,O=C1C(OCC(F)(F)F)=C(OCC(F)(F)F)C(=O)c2ncccc21
05QPSP,N#CC1=C(N)C(C#N)(C#N)C(c2ccccc2Cl)C2=C1CCCCCC2
05FFTS,N#CC1=C(N)C(C#N)(C#N)C(c2ccc(Br)cc2)C2=C1CCCCCC2
05WBSV,CC1=C(SCCC(=O)O)C(=O)c2ccccc2C1=O
05LCLA,O=C(O)CCSC1=CC(=O)C(=O)c2ccccc21
05VQGW,CC(C)C12CC(CC3c4ccccc4C=CC31)C(=O)O2
